method,path,has_body,summary
DELETE,/protocol/a2a/task/{task_id},False,A2A Cancel Task
GET,/,False,Read Root
GET,/agents,False,List Agents
GET,/agents/multimodal/status,False,Get Multimodal Status
GET,/agents/status,False,Agents Status
GET,/analytics,False,Unified Analytics Endpoint
GET,/analytics/costs,False,Cost Analytics
GET,/analytics/dashboard,False,Analytics Dashboard
GET,/analytics/performance,False,Performance Analytics
GET,/analytics/realtime,False,Realtime Analytics
GET,/analytics/tokens,False,Token Analytics
GET,/api/agents/status,False,Get Agents Status
GET,/api/agents/{agent_id}/status,False,Get Agent Status
GET,/api/edge/capabilities,False,Get Edge Ai Capabilities
GET,/api/mcp/info,False,Get Mcp Info
GET,/api/mcp/plans/{plan_id}/status,False,Get Plan Status
GET,/api/state/current,False,Get Current System State
GET,/api/tools/enhanced,False,Get Enhanced Tools
GET,/api/tools/optimization/metrics,False,Get Tool Optimization Metrics
GET,/chat/formatted,False,Formatted Chat
GET,/communication/status,False,Communication Status
GET,/consciousness/status,False,Consciousness Status
GET,/console,False,Chat Console
GET,/health,False,Health Check
GET,/infrastructure/status,False,Infrastructure Status
GET,/llm/optimization/stats,False,Get Optimization Stats
GET,/llm/providers/recommendations,False,Get Provider Recommendations
GET,/memory/conversation/{conversation_id},False,Get Conversation Details
GET,/memory/conversation/{conversation_id}/context,False,Get Conversation Context Preview
GET,/memory/conversations,False,Search Conversations
GET,/memory/stats,False,Get Memory Stats
GET,/memory/topic/{topic_name}/conversations,False,Get Topic Conversations
GET,/memory/topics,False,Get Topics
GET,/metrics,False,System Metrics
GET,/models/bitnet/status,False,Get Bitnet Model Status
GET,/modern-chat,False,Modern Chat
GET,/nvidia/inception/status,False,Get Nvidia Inception Status
GET,/nvidia/nemo/enterprise/showcase,False,Nemo Enterprise Showcase
GET,/nvidia/nemo/status,False,Get Nemo Integration Status
GET,/nvidia/nemo/toolkit/status,False,Get Nemo Toolkit Status
GET,/physics/capabilities,False,Get Physics Capabilities
GET,/physics/constants,False,Get Physics Constants
GET,/pipeline/external-data,False,Get External Data Feed
GET,/pipeline/metrics,False,Get Pipeline Metrics
GET,/pipeline/visualization/{chart_type},False,Get Pipeline Visualization
GET,/protocol/a2a/task/{task_id},False,A2A Get Task Status
GET,/protocol/acp/agent-card,False,Acp Get Agent Card
GET,/protocol/health,False,Protocol Health
GET,/protocol/mcp/tools,False,Mcp Discover Tools
GET,/research/capabilities,False,Get Research Capabilities
GET,/test-audio,False,Test Audio
GET,/training/bitnet/metrics,False,Get Detailed Training Metrics
GET,/voice/settings,False,Get Voice Settings
GET,/voice/test-speaker/{speaker},False,Test Speaker Voice
POST,/agent/behavior/{agent_id},True,Set Agent Behavior
POST,/agent/create,True,Create Agent
POST,/agents/alignment/evaluate_ethics,True,Evaluate Ethics
POST,/agents/audit/text,True,Audit Text
